X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
934;274;0.59154;0.3096782;0.6652817;0.4295396;410.4;0.1939529;False;2026-06-19 9:40:52 AM:237;1781854852237;;
945;288;0.5988468;0.3254104;0.6652077;0.4295285;409.0;0.1939193;False;2026-06-19 9:40:52 AM:266;1781854852266;;
974;286;0.6174412;0.3230377;0.714957;0.248428;404.9;0.1968597;False;2026-06-19 9:40:52 AM:300;1781854852300;;
997;287;0.631872;0.324201;0.7219783;0.3429669;401.3;0.1969071;False;2026-06-19 9:40:52 AM:331;1781854852331;;
1014;287;0.642614;0.3238111;0.7216828;0.2776024;399.6;0.2003051;False;2026-06-19 9:40:52 AM:362;1781854852362;;
1026;287;0.650009;0.3232224;0.718515;0.2726707;398.1;0.2002886;False;2026-06-19 9:40:52 AM:394;1781854852394;;
1035;286;0.655948;0.322884;0.7209697;0.2974189;396.6;0.2065813;False;2026-06-19 9:40:52 AM:425;1781854852425;;
1045;285;0.6620482;0.3215817;0.7291358;0.2617299;395.2;0.2065254;False;2026-06-19 9:40:52 AM:457;1781854852457;;
1054;287;0.6675382;0.3237024;0.7338698;0.3553102;394.7;0.2007774;False;2026-06-19 9:40:52 AM:488;1781854852488;;
1060;288;0.6717728;0.3253627;0.7337915;0.3553047;394.2;0.2007313;False;2026-06-19 9:40:52 AM:517;1781854852517;;
1063;287;0.6735148;0.3235844;0.7202237;0.2686543;393.1;0.2037668;False;2026-06-19 9:40:52 AM:549;1781854852549;;
1065;286;0.6748731;0.3221892;0.7201962;0.2686475;392.0;0.2037507;False;2026-06-19 9:40:52 AM:579;1781854852579;;
1069;285;0.6772317;0.3211138;0.730849;0.2704163;391.7;0.2002014;False;2026-06-19 9:40:52 AM:611;1781854852611;;
1072;284;0.6790777;0.3202555;0.7308409;0.2704144;391.4;0.2001968;False;2026-06-19 9:40:52 AM:642;1781854852642;;
1072;278;0.6791764;0.3132126;0.7108562;0.2147755;391.3;0.1959486;False;2026-06-19 9:40:52 AM:678;1781854852678;;
1072;273;0.6792521;0.3080362;0.7108914;0.2147868;391.3;0.1959648;False;2026-06-19 9:40:52 AM:710;1781854852710;;
1072;273;0.6795051;0.3076111;0.7159585;0.27858;391.2;0.2001972;False;2026-06-19 9:40:52 AM:742;1781854852742;;
1073;272;0.6798404;0.3068505;0.703903;0.2508249;391.1;0.2001732;False;2026-06-19 9:40:52 AM:772;1781854852772;;
1073;272;0.6800102;0.3065087;0.7144368;0.2557891;391.0;0.2001408;False;2026-06-19 9:40:52 AM:801;1781854852801;;
1075;337;0.6809382;0.3800876;0.7246664;0.6107475;390.5;0.1850647;False;2026-06-19 9:40:52 AM:832;1781854852832;;
1076;379;0.6816731;0.4271733;0.7246669;0.6107475;390.1;0.1850651;False;2026-06-19 9:40:52 AM:862;1781854852862;;
1077;411;0.6821859;0.4631259;0.7226398;0.6108372;389.4;0.1831069;False;2026-06-19 9:40:52 AM:896;1781854852896;;
1077;431;0.6825649;0.4856468;0.7226709;0.6108411;388.9;0.183133;False;2026-06-19 9:40:52 AM:926;1781854852926;;
1079;440;0.6834438;0.496274;0.7290823;0.5781692;388.4;0.1791474;False;2026-06-19 9:40:52 AM:959;1781854852959;;
1080;447;0.6841249;0.5038402;0.7290888;0.578168;388.0;0.1791509;False;2026-06-19 9:40:52 AM:990;1781854852990;;
1082;461;0.6853995;0.5196846;0.7362867;0.6332465;387.3;0.1771863;False;2026-06-19 9:40:53 AM:21;1781854853021;;
1083;471;0.6864281;0.5313825;0.736281;0.6332458;386.6;0.1771825;False;2026-06-19 9:40:53 AM:52;1781854853052;;
1092;520;0.6919642;0.5866518;0.7674941;0.79606;388.4;0.1729176;False;2026-06-19 9:40:53 AM:87;1781854853087;;
1098;551;0.6959453;0.6215901;0.7674984;0.7960651;390.1;0.1729198;False;2026-06-19 9:40:53 AM:117;1781854853117;;
1107;564;0.7017006;0.635193;0.7815064;0.7437435;390.8;0.1819652;False;2026-06-19 9:40:53 AM:150;1781854853150;;
1114;572;0.7060173;0.645004;0.7814965;0.7437323;391.5;0.181964;False;2026-06-19 9:40:53 AM:180;1781854853180;;
1122;581;0.7107865;0.6553588;0.7814869;0.7437215;392.1;0.181963;False;2026-06-19 9:40:53 AM:228;1781854853228;;
1123;587;0.7116784;0.6620094;0.7282067;0.7488958;392.2;0.1830132;False;2026-06-19 9:40:53 AM:262;1781854853262;;
1123;588;0.7117257;0.6630191;0.7535877;0.7088094;392.3;0.1811635;False;2026-06-19 9:40:53 AM:295;1781854853295;;
1123;589;0.7117602;0.6637601;0.7535565;0.708772;392.5;0.1811482;False;2026-06-19 9:40:53 AM:325;1781854853325;;
1123;591;0.7118172;0.6663458;0.753913;0.7341635;392.7;0.1799373;False;2026-06-19 9:40:53 AM:356;1781854853356;;
1124;593;0.711867;0.6684606;0.753919;0.7341703;392.9;0.1799383;False;2026-06-19 9:40:53 AM:387;1781854853387;;
1119;599;0.7089261;0.6748817;0.6831403;0.7754171;394.2;0.1651589;True;2026-06-19 9:40:53 AM:419;1781854853419;;
1115;603;0.7067258;0.6798598;0.6831089;0.7753744;395.4;0.1651681;True;2026-06-19 9:40:53 AM:449;1781854853449;;
1113;613;0.7055091;0.6908745;0.6891775;0.816851;396.6;0.1694099;False;2026-06-19 9:40:53 AM:482;1781854853482;;
1112;621;0.7045468;0.6995016;0.6891804;0.8168637;397.7;0.169404;False;2026-06-19 9:40:53 AM:516;1781854853516;;
1097;634;0.6952369;0.7145064;0.6324287;0.8610417;396.8;0.1593316;True;2026-06-19 9:40:53 AM:549;1781854853549;;
1079;641;0.6834698;0.721949;0.6060988;0.8433117;396.0;0.1593455;True;2026-06-19 9:40:53 AM:579;1781854853579;;
1074;656;0.6806268;0.7391347;0.6424638;0.9011257;395.2;0.1593674;True;2026-06-19 9:40:53 AM:610;1781854853610;;
1038;657;0.6576937;0.7399629;0.5511734;0.782643;394.5;0.1652118;True;2026-06-19 9:40:53 AM:642;1781854853642;;
1013;657;0.6419899;0.7406195;0.5511712;0.7826275;393.8;0.1652249;True;2026-06-19 9:40:53 AM:672;1781854853672;;
1002;659;0.6352059;0.7425057;0.575014;0.82197;392.9;0.1671528;False;2026-06-19 9:40:53 AM:704;1781854853704;;
995;660;0.6301984;0.743998;0.5750162;0.8219723;392.1;0.1671519;False;2026-06-19 9:40:53 AM:735;1781854853735;;
958;660;0.6067857;0.7440276;0.4964816;0.7445422;392.0;0.1651672;True;2026-06-19 9:40:53 AM:768;1781854853768;;
931;660;0.5900002;0.7440516;0.4964821;0.744542;391.8;0.1651676;True;2026-06-19 9:40:53 AM:802;1781854853802;;
931;661;0.5899822;0.7445735;0.588332;0.7960219;390.9;0.162816;True;2026-06-19 9:40:53 AM:835;1781854853835;;
931;661;0.5899668;0.7450235;0.5883577;0.7960026;390.0;0.1628478;True;2026-06-19 9:40:53 AM:871;1781854853871;;
936;661;0.5929443;0.7451966;0.6282655;0.7922422;389.4;0.1632131;True;2026-06-19 9:40:53 AM:908;1781854853908;;
939;663;0.595254;0.7469202;0.6292262;0.8141025;388.7;0.1607874;True;2026-06-19 9:40:53 AM:945;1781854853945;;
936;663;0.5933106;0.747351;0.5631819;0.7819409;388.0;0.1608263;True;2026-06-19 9:40:53 AM:980;1781854853980;;
934;663;0.591889;0.7476799;0.5631909;0.7819312;387.4;0.1608386;True;2026-06-19 9:40:54 AM:12;1781854854012;;
880;664;0.5576853;0.7481896;0.4327013;0.800029;387.8;0.1608206;True;2026-06-19 9:40:54 AM:46;1781854854046;;
846;664;0.5358412;0.7485298;0.4316599;0.7807051;388.2;0.1608123;True;2026-06-19 9:40:54 AM:77;1781854854077;;
712;654;0.4512467;0.736728;0.2740297;0.6522723;389.6;0.1703092;False;2026-06-19 9:40:54 AM:112;1781854854112;;
672;642;0.4260993;0.7240316;0.3349618;0.6297388;391.0;0.1686978;False;2026-06-19 9:40:54 AM:147;1781854854147;;
629;636;0.3983675;0.7168859;0.2945859;0.6386415;392.3;0.1687036;False;2026-06-19 9:40:54 AM:176;1781854854176;;
578;632;0.3663909;0.7118589;0.2571113;0.644076;394.2;0.1636028;True;2026-06-19 9:40:54 AM:208;1781854854208;;
544;628;0.3448298;0.707882;0.257113;0.6440747;395.9;0.1636077;True;2026-06-19 9:40:54 AM:240;1781854854240;;
513;615;0.3252965;0.6933091;0.2411204;0.5712996;392.4;0.1665525;False;2026-06-19 9:40:54 AM:271;1781854854271;;
489;604;0.3103094;0.680479;0.2327983;0.5578136;389.3;0.1665999;False;2026-06-19 9:40:54 AM:301;1781854854301;;
471;594;0.2988623;0.6699629;0.232802;0.5578049;386.5;0.1666206;False;2026-06-19 9:40:54 AM:332;1781854854332;;
459;589;0.2909735;0.6640302;0.2381912;0.57626;385.3;0.1736379;False;2026-06-19 9:40:54 AM:367;1781854854367;;
452;583;0.2863218;0.6570442;0.2409818;0.554015;384.2;0.1736244;False;2026-06-19 9:40:54 AM:396;1781854854396;;
445;581;0.2823006;0.6549203;0.2399629;0.5865292;384.2;0.1788169;False;2026-06-19 9:40:54 AM:428;1781854854428;;
441;580;0.2793524;0.6532856;0.2399641;0.5865347;384.2;0.1788097;False;2026-06-19 9:40:54 AM:459;1781854854459;;
437;520;0.2770335;0.5859508;0.2404239;0.3252828;386.1;0.1839803;False;2026-06-19 9:40:54 AM:489;1781854854489;;
434;478;0.2751503;0.5387531;0.2404259;0.3252793;387.8;0.1839866;False;2026-06-19 9:40:54 AM:520;1781854854520;;
431;431;0.2733405;0.4862877;0.2380199;0.2713245;389.2;0.1998888;False;2026-06-19 9:40:54 AM:554;1781854854554;;
429;400;0.2719463;0.4511153;0.23802;0.271324;390.5;0.199891;False;2026-06-19 9:40:54 AM:587;1781854854587;;
427;380;0.2706358;0.4284497;0.2363534;0.2835102;391.7;0.1999418;False;2026-06-19 9:40:54 AM:620;1781854854620;;
